Ticker,Date,Open,High,Low,Close,Volume
A,2025-10-03,139.0,143.09,138.855,141.64,2345960.0
A,2025-10-06,141.51,141.935,139.9,141.61,1538402.0
A,2025-10-07,141.86,142.27,138.44,138.56,1444593.0
A,2025-10-08,140.36,142.44,138.97,140.81,1698819.0
A,2025-10-09,140.28,140.94,138.48,140.11,1149998.0
A,2025-10-10,139.66,140.575,136.29,136.62,1968156.0
A,2025-10-13,137.85,139.84,136.7575,138.23,1481472.0
A,2025-10-14,136.27,139.92,135.54,138.04,1142071.0
A,2025-10-15,138.68,140.22,137.35,139.65,1692458.0
A,2025-10-16,140.84,143.325,140.26,141.1,2180226.0
A,2025-10-17,139.76,142.235,139.02,141.92,1506511.0
A,2025-10-20,143.0,144.63,142.27,143.0,1580463.0
A,2025-10-21,145.3,149.5,144.27,145.68,1658454.0
A,2025-10-22,145.28,147.74,144.455,145.87,1495380.0
A,2025-10-23,146.3,148.3329,145.6,147.46,1210044.0
A,2025-10-24,148.12,149.12,147.525,148.03,1135521.0
A,2025-10-27,148.28,148.65,146.52,146.59,1187952.0
A,2025-10-28,145.74,147.27,144.63,145.85,1470066.0
A,2025-10-29,145.52,146.05,142.87,143.2,1902524.0
A,2025-10-30,142.93,145.27,142.205,143.36,1519645.0
A,2025-10-31,142.78,146.99,142.6,146.36,1487227.0
A,2025-11-03,145.07,145.575,142.53,144.69,1785846.0
A,2025-11-04,143.5,148.71,143.5,146.08,2176781.0
A,2025-11-05,143.15,147.49,142.46,146.77,1664689.0
A,2025-11-06,145.79,148.01,145.1,147.49,1285960.0
A,2025-11-07,146.52,147.12,144.575,146.74,1027170.0
A,2025-11-10,146.93,147.8751,145.1,146.36,1310703.0
A,2025-11-11,146.91,149.9763,146.78,149.42,1218692.0
A,2025-11-12,149.91,152.67,148.78,151.52,2064616.0
A,2025-11-13,149.44,152.095,146.52,146.89,1940747.0
A,2025-11-14,145.32,148.0,144.5,146.82,1302640.0
A,2025-11-17,146.37,147.035,144.05,144.52,1445776.0
A,2025-11-18,143.24,145.29,140.24,143.84,2330773.0
A,2025-11-19,145.49,145.49,142.76,144.4,1848316.0
A,2025-11-20,147.16,147.36,143.95,145.06,1443693.0
A,2025-11-21,144.47,151.76,144.47,151.25,2469168.0
A,2025-11-24,151.9,153.6,150.47,153.6,3984489.0
A,2025-11-25,150.78,160.27,148.0001,157.2,3697954.0
A,2025-11-26,155.74,158.12,154.02,154.37,3294453.0
A,2025-11-28,154.11,154.56,153.22,153.5,1531612.0
A,2025-12-01,152.54,153.95,149.19,150.1,2044215.0
A,2025-12-02,150.96,151.455,148.75,148.81,1653182.0
A,2025-12-03,149.77,151.43,149.1,149.26,2163067.0
A,2025-12-04,149.26,149.8,144.22,148.32,2865181.0
A,2025-12-05,148.79,149.0,144.76,145.49,2142102.0
A,2025-12-08,144.82,144.82,142.18,142.44,2195344.0
A,2025-12-09,142.3,142.77,140.22,140.64,2324485.0
A,2025-12-10,141.51,143.93,141.06,143.47,1864408.0
A,2025-12-11,143.57,143.8811,142.14,142.87,1226087.0
A,2025-12-12,142.59,142.85,139.15,139.68,1962054.0
A,2025-12-15,141.82,143.365,139.72,140.6,2712076.0
A,2025-12-16,140.48,140.5069,138.035,139.19,1798750.0
A,2025-12-17,138.67,139.305,136.27,136.66,2242051.0
A,2025-12-18,137.09,138.98,136.23,136.9,2693852.0
A,2025-12-19,137.21,138.27,136.43,137.24,4959132.0
A,2025-12-22,137.62,139.19,137.205,138.52,2038316.0
A,2025-12-23,138.17,138.92,137.64,138.36,1208713.0
A,2025-12-24,138.35,138.57,137.77,138.32,508961.0
A,2025-12-26,138.5,138.63,137.87,138.39,739337.0
A,2025-12-29,138.4,139.07,137.62,137.93,1640851.0
A,2025-12-30,137.57,138.16,136.8301,137.62,2423111.0
A,2025-12-31,137.61,137.97,136.04,136.07,949976.0
A,2026-01-02,136.24,137.95,135.27,137.95,1650714.0
A,2026-01-05,137.67,142.97,137.66,142.93,2981500.0
A,2026-01-06,142.18,148.555,142.17,147.6,2627715.0
A,2026-01-07,147.64,149.39,145.55,147.81,2279107.0
A,2026-01-08,146.74,148.735,145.365,145.76,1728989.0
A,2026-01-09,147.48,150.03,147.15,148.52,1819076.0
